Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","64","GC02M029190","118.301345825195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"NBN","Nibrin","Protein Coding","O60934","62","GC08M089933","116.533599853516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","67","GC07M140778","112.539009094238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"LOC126862571","BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335","Functional Element","","10","GC17P125309","111.513130187988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862571"
"BAP1","BRCA1 Associated Protein 1","Protein Coding","Q92560","60","GC03M052401","110.433799743652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","62","GC13P048303","109.942314147949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","108.594367980957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","64","GC19P122306","107.58268737793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","106.622032165527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","106.180099487305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","58","GC01M045329","105.631530761719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"PTCH1","Patched 1","Protein Coding","Q13635","64","GC09M095442","102.430938720703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","100.304794311523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"RAD51D","RAD51 Paralog D","Protein Coding","O75771","53","GC17M035092","100.241706848145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D"
"BLM","BLM RecQ Like Helicase","Protein Coding","P54132","62","GC15P090717","99.3361968994141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","98.8641738891602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"RAD51C","RAD51 Paralog C","Protein Coding","O43502","55","GC17P058692","97.6203994750977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"MSH3","MutS Homolog 3","Protein Coding","P20585","55","GC05P080654","94.9585494995117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","93.2851715087891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","61","GC02P047345","92.8411483764648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","92.2284545898438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M012501","89.7096481323242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"PKD1","Polycystin 1, Transient Receptor Potential Channel Interacting","Protein Coding","P98161","58","GC16M025585","88.3205718994141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD1"
"CCND1","Cyclin D1","Protein Coding","P24385","66","GC11P069641","87.679817199707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"RAD51L3-RFFL","RAD51L3-RFFL Readthrough","RNA Gene","","18","GC17M035009","87.4677200317383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51L3-RFFL"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","P36894","64","GC10P112550","86.9595642089844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","67","GC12M059651","86.2418212890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"MRE11","MRE11 Homolog, Double Strand Break Repair Nuclease","Protein Coding","P49959","61","GC11M129626","86.2280654907227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P123488","85.9519500732422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MEG3","Maternally Expressed 3","RNA Gene","","37","GC14P117888","85.51611328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","67","GC06P151656","82.3887023925781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"FLCN","Folliculin","Protein Coding","Q8NFG4","55","GC17M017212","82.2436904907227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","P01111","63","GC01M114704","82.1216735839844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAS"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","60","GC05P000232","82.0321502685547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","81.7501449584961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"MEN1","Menin 1","Protein Coding","O00255","58","GC11M064803","81.6996994018555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","60","GC03P022792","81.6338653564453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","62","GC12P043095","80.7510528564453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"CTNNA1","Catenin Alpha 1","Protein Coding","P35221","59","GC05P138710","79.7258071899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1"
"FANCC","FA Complementation Group C","Protein Coding","Q00597","60","GC09M095099","78.2092361450195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","66","GC08P127735","78.1849060058594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","68","GC04P004728","77.7842254638672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"AR","Androgen Receptor","Protein Coding","P10275","64","GC0XP067544","76.1944808959961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","33","GC11P094626","76.0025863647461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","62","GC01M019397","75.8474349975586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","67","GC17M042313","75.0692596435547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"GAS5","Growth Arrest Specific 5","RNA Gene","","33","GC01M173947","74.8180923461914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","72.371467590332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"PVT1","Pvt1 Oncogene","RNA Gene","","35","GC08P128175","70.8082122802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","32","GC19P131723","70.1601409912109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","29","GC06P008486","69.8612060546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","66","GC09M138850","69.3788909912109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","32","GC12M053962","68.8842086791992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"NF2","NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor","Protein Coding","P35240","62","GC22P029603","68.5195693969727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","66","GC03P012287","68.3627548217773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"CCAT1","Colon Cancer Associated Transcript 1","RNA Gene","","23","GC08M127207","68.0536651611328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","O14521","57","GC11P112613","67.6524047851563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","67.5427093505859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","67.4887313842773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"MIR34A","MicroRNA 34a","RNA Gene","","32","GC01M015281","67.2844314575195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","64","GC20P037344","67.0633773803711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"HOXB13","Homeobox B13","Protein Coding","Q92826","54","GC17M085564","66.8958358764648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13"
"ATR","ATR Serine/Threonine Kinase","Protein Coding","Q13535","66","GC03M142449","66.8479461669922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR"
"RUNX1","RUNX Family Transcription Factor 1","Protein Coding","Q01196","63","GC21M034787","66.7700042724609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","35","GC19P122009","66.6488876342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","65","GC03P030623","66.6457672119141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"MIR125A","MicroRNA 125a","RNA Gene","","31","GC19P123545","64.6678237915039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"XIST","X Inactive Specific Transcript","RNA Gene","","33","GC0XM073820","64.5431137084961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","64.4258346557617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"NTHL1","Nth Like DNA Glycosylase 1","Protein Coding","P78549","56","GC16M025583","64.3529281616211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTHL1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","66","GC19M041301","64.311164855957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","64.2695617675781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P144764","64.1841430664063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","Q99643","55","GC01P161314","63.9786911010742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","66","GC02M208236","62.8575592041016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"ARID1A","AT-Rich Interaction Domain 1A","Protein Coding","O14497","58","GC01P026693","62.8351135253906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1A"
"MIR126","MicroRNA 126","RNA Gene","","31","GC09P136670","62.6499176025391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","62.5230712890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"TUG1","Taurine Up-Regulated 1","Protein Coding","A0A6I8PU40","34","GC22P030969","62.2766227722168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"LZTR1","Leucine Zipper Like Post Translational Regulator 1","Protein Coding","Q8N653","55","GC22P075449","62.2205696105957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTR1"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","Q12824","59","GC22P023786","61.734733581543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","64","GC02M177227","61.6259994506836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","61.5550689697266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","61.4706573486328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"MIR221","MicroRNA 221","RNA Gene","","29","GC0XM045746","61.4366416931152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","67","GC12P068808","61.4186935424805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"HNF1B","HNF1 Homeobox B","Protein Coding","P35680","56","GC17M037686","61.2101593017578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"MLH3","MutL Homolog 3","Protein Coding","Q9UHC1","51","GC14M075013","61.1999549865723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH3"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","33","GC09P021994","61.0917892456055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"SEC63","SEC63 Homolog, Protein Translocation Regulator","Protein Coding","Q9UGP8","55","GC06M107867","60.8894271850586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC63"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","35","GC10P118053","60.8386535644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"MIR30A","MicroRNA 30a","RNA Gene","","28","GC06M071403","60.836254119873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"MIR31","MicroRNA 31","RNA Gene","","29","GC09M022191","60.6084823608398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31"
"LRP5","LDL Receptor Related Protein 5","Protein Coding","O75197","62","GC11P068298","60.5863571166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5"
"MIR143","MicroRNA 143","RNA Gene","","33","GC05P153734","60.5463027954102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"MIR145","MicroRNA 145","RNA Gene","","32","GC05P149430","59.9632568359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"MIR155","MicroRNA 155","RNA Gene","","31","GC21P025573","59.9048271179199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"MIR200B","MicroRNA 200b","RNA Gene","","30","GC01P001167","59.5122909545898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"ERBB4","Erb-B2 Receptor Tyrosine Kinase 4","Protein Coding","Q15303","67","GC02M211375","59.4755935668945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4"
"MIR27A","MicroRNA 27a","RNA Gene","","32","GC19M096311","59.4131164550781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"PCAT1","Prostate Cancer Associated Transcript 1","RNA Gene","","27","GC08P126553","59.3938102722168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT1"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","P10644","64","GC17P123720","59.249813079834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","","21","GC08P127400","58.9744071960449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"POT1","Protection Of Telomeres 1","Protein Coding","Q9NUX5","55","GC07M124822","58.9271240234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POT1"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","26","GC18M057054","58.5923004150391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","58.3767852783203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"XRCC2","X-Ray Repair Cross Complementing 2","Protein Coding","O43543","53","GC07M152644","58.1828155517578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC2"
"PKD2","Polycystin 2, Transient Receptor Potential Cation Channel","Protein Coding","Q13563","60","GC04P088007","58.128776550293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKD2"
"MIR122","MicroRNA 122","RNA Gene","","30","GC18P058451","58.0161628723145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"CDC73","Cell Division Cycle 73","Protein Coding","Q6P1J9","58","GC01P193121","57.3200073242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","P04629","62","GC01P156815","57.2637023925781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","57.1914138793945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"GREM1","Gremlin 1, DAN Family BMP Antagonist","Protein Coding","O60565","56","GC15P165907","57.0183143615723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM1"
"MIRLET7C","MicroRNA Let-7c","RNA Gene","","31","GC21P018986","56.9673614501953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C"
"MIR203A","MicroRNA 203a","RNA Gene","","29","GC14P116969","56.9180068969727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P04049","67","GC03M012583","56.6629943847656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"AOPEP","Aminopeptidase O (Putative)","Protein Coding","Q8N6M6","50","GC09P102152","56.626781463623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOPEP"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","61","GC11M032365","56.5534439086914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","62","GC14P061695","56.5471267700195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"SUFU","SUFU Negative Regulator Of Hedgehog Signaling","Protein Coding","Q9UMX1","55","GC10P113124","56.5362281799316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUFU"
"MIR141","MicroRNA 141","RNA Gene","","31","GC12P042129","56.3890113830566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P112626","56.1313972473145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"MIR214","MicroRNA 214","RNA Gene","","31","GC01M172234","56.123649597168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"MIR20A","MicroRNA 20a","RNA Gene","","29","GC13P091699","56.086483001709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","67","GC12P061993","56.0779647827148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"HFE","Homeostatic Iron Regulator","Protein Coding","Q30201","58","GC06P026087","55.89306640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"MIR22","MicroRNA 22","RNA Gene","","31","GC17M001713","55.8531341552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"MIR223","MicroRNA 223","RNA Gene","","30","GC0XP066018","55.8098907470703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"PRKCSH","PRKCSH Beta Subunit Of Glucosidase II","Protein Coding","P14314","56","GC19P011435","55.69921875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCSH"
